Mouse ID,Location,Infected,Strain,Block,% T cells of CD45+,% CD4+ of CD45+,% CD4+/Q1 CD62L- / CD44+ eff mem of CD45+,% CD4+/Q2 CD62L+ / CD44+ cent mem of CD45+,% CD4+/Q3 CD62L+ / CD44- naive of CD45+,% CD4+/Q4 CD62L- / CD44- of CD45+,% Ki-67+ activated CD4 of CD45+,% KLRG1+ CD4+ of CD45+,% FoxP3+ CD4+ of CD45+,% Gata3+ CD4+ of CD45+,% Tbet+ CD4+ of CD45+,% RorgT+ CD4+ of CD45+,% CD8+ of CD45+,% Q1 CD62L-  CD44+ eff mem of CD45+,% CD8+/Q2 CD62L+ / CD44+ cent mem of CD45+,% CD8+/Q3 CD62L+ / CD44- naive of CD45+,% CD8+/Q4 CD62L- / CD44- of CD45+,% Ki-67+ CD8+ of CD45+,% KLRG1+ CD8+ of CD45+,% B220+ cells of CD45+,% CD44+ B cells of CD45+,% CD62L+ Bcells of CD45+,% CD62hiCD44+ B cells of CD45+,% CD62hiCD44- B cells of CD45+,% gd T cells of CD45+,% NK cells of CD45+,% lin- of CD45+,% Ki67+ ILCs of CD45+
412,SF,UnInfected,B6,Block1,61.8,26,6.36,0.637,3.77,15.3,2.52,0.137,3.49,0.485,0.167,0.599,35.1,5.47,1.02,1.95,26.6,2.04,0.0455,33.7,3.06,4.51,0.265,4.27,1.94,0.288,1.82,0.435
415,SF,UnInfected,B6,Block1,58.4,31.2,3.67,2.69,23.7,1.14,3.34,0.343,3.81,0.509,0.732,0.507,26.3,0.61,4.21,20.2,1.29,3.5,0.0312,37.4,5.7,32.4,3.66,28.9,1.7,0.436,1.76,0.545
421,SF,UnInfected,B6,Block1,54,30.1,6.03,1.36,18.3,4.42,3.68,25.9,4.48,0.603,0.818,1.03,23.2,1.29,3.09,11.8,7.01,2.3,0.871,41.5,3.77,12.8,0.794,12,1.34,0.312,2.44,0.403
450,SF,UnInfected,PWK,Block1,78.8,52.5,6.86,42.4,2.78,0.407,4.04,0.402,4.28,0.385,0.131,0.946,26,1.03,23.6,1.28,0.0823,1.93,0.0292,19.3,1.92,9.95,0.469,9.51,0.63,0.00117,0.926,0.272
459,SF,UnInfected,PWK,Block1,85,57.7,6.44,47.5,3.36,0.434,3.48,0.46,4.51,0.452,0.27,0.82,27,1.12,24.5,1.27,0.0999,1.77,0.0659,13.2,1.43,5.17,0.298,4.89,0.692,0.00329,0.749,0.141
465,SF,UnInfected,PWK,Block1,81.7,53,7.72,40.5,3.97,0.813,3.84,0.724,5.52,0.747,0.251,0.637,28.2,1.5,24.7,1.81,0.233,2.64,0.0322,15.5,1.5,5.86,0.312,5.56,0.725,0.00119,1.28,0.264
471/666,SF,UnInfected,PWK,Block1,84.9,60.8,27.4,25.1,2.87,5.36,2.65,0.692,6.14,0.55,0.385,0.552,23.8,17.8,3.96,0.207,1.86,1.32,0.0383,13,1.19,1.37,0.0631,1.31,0.818,0.00225,0.973,0.185
426,Lab,Infected,129SL,Block1,53.7,38.9,4.16,1.31,29.8,3.58,2.55,0.239,4.02,1.2,0.111,0.322,14.3,0.211,0.264,11.4,2.4,0.404,0.015,43.1,5.2,15,1.14,13.9,0.957,0.00166,1.95,0.919
438,Lab,Infected,129SL,Block1,62.3,45.3,4.34,1.29,36.5,3.14,1.49,0.127,4.34,0.594,0.0723,0.344,16.7,0.156,0.31,14.7,1.55,0.371,0.0115,35.8,3.6,18.5,1.04,17.6,0.82,0.00322,0.797,0.191
440,Lab,Infected,129SL,Block1,65.2,46.5,4.59,1.39,35.8,4.69,2.17,0.181,4.51,0.684,0.12,0.502,18.2,0.268,0.394,15.3,2.23,0.505,0.0202,32.8,3.99,9.58,0.874,8.76,0.812,0.00356,0.875,0.158
447,Lab,Infected,129SL,Block1,60.6,43.4,4.49,1.06,32.6,5.31,2.61,0.163,3.39,0.982,0.144,0.484,16.7,0.268,0.4,11.6,4.4,0.514,0.0219,37,3.81,6.76,0.559,6.23,0.699,0.0023,1.27,0.357
404,Lab,Infected,B6,Block1,64.3,35.9,5.22,1.57,15.8,13.3,1.76,1.52,4.49,0.61,0.294,0.736,27.5,3.41,0.684,2.65,20.7,1.11,0.0736,31.5,2.67,9.42,0.431,9,1.82,0.41,1.19,0.315
409,Lab,Infected,B6,Block1,64.1,37.8,5.14,1.03,8.66,23,2.01,0.414,4.72,0.724,0.414,0.667,25.6,3.51,0.195,0.448,21.4,1.24,0.023,31.9,2.54,6.78,0.391,6.47,1.93,0.402,1.16,0.241
419,Lab,Infected,B6,Block1,42.2,22.7,1.61,1.53,19,0.59,1.54,0.243,2.67,0.366,0.432,0.229,18.9,0.249,1.9,16.5,0.258,1.92,0.0544,54.4,4.67,48.9,2.81,46.3,1.44,0.289,1.38,0.401
