Wedge,Timestamp,RFID,Mouse
70,8/19/21 2:37,48 48 48 49 51 48 50 57 48,274
30,8/19/21 2:36,48 48 48 49 51 48 51 55 50,117
30,8/19/21 2:36,48 48 48 49 51 48 51 55 50,117
70,8/19/21 2:36,48 48 48 49 51 48 50 53 51,284
70,8/19/21 2:36,48 48 48 49 51 48 50 53 51,284
30,8/19/21 2:35,48 48 48 49 51 48 51 55 50,117
70,8/19/21 2:36,48 48 48 49 51 48 50 54 49,297
70,8/19/21 2:34,48 48 48 49 51 48 51 49 57,282
10,8/19/21 2:33,48 48 48 49 51 48 50 57 48,274
10,8/19/21 2:33,48 48 48 49 51 48 50 57 48,274
70,8/19/21 2:33,48 48 48 49 51 48 50 51 55,287
71,8/19/21 2:32,48 48 48 48 55 50 56 56 48,311
30,8/19/21 2:31,48 48 48 49 51 48 51 55 50,117
14,8/19/21 2:30,48 48 48 49 51 48 50 53 54,277
14,8/19/21 2:30,48 48 48 49 51 48 50 53 54,277
70,8/19/21 2:29,48 48 48 49 51 48 50 57 50,291
71,8/19/21 2:29,48 48 48 48 55 50 56 56 48,311
70,8/19/21 2:28,48 48 48 49 51 48 51 51 57,292
70,8/19/21 2:28,48 48 48 49 51 48 51 51 57,292
30,8/19/21 2:26,48 48 48 49 51 48 51 55 50,117
14,8/19/21 2:26,48 48 48 49 51 48 51 57 50,298
14,8/19/21 2:25,48 48 48 49 51 48 51 57 50,298
70,8/19/21 2:25,48 48 48 49 51 48 51 51 57,292
14,8/19/21 2:25,48 48 48 49 51 48 51 50 56,289
14,8/19/21 2:25,48 48 48 49 51 48 50 50 57,300
70,8/19/21 2:23,48 48 48 49 51 48 50 54 49,297
70,8/19/21 2:23,48 48 48 49 51 48 50 53 54,277
70,8/19/21 2:23,48 48 48 49 51 48 50 54 49,297
70,8/19/21 2:21,48 48 48 49 51 48 50 54 49,297
70,8/19/21 2:21,48 48 48 49 51 48 50 51 55,287
70,8/19/21 2:20,48 48 48 49 51 48 50 53 54,277
70,8/19/21 2:19,48 48 48 49 51 48 50 53 54,277
14,8/19/21 2:19,48 48 48 49 51 48 50 50 57,300
14,8/19/21 2:18,48 48 48 49 51 48 50 50 57,300
14,8/19/21 2:18,48 48 48 49 51 48 50 50 57,300
14,8/19/21 2:17,48 48 48 49 51 48 50 50 57,300
30,8/19/21 2:17,48 48 48 49 51 48 51 55 50,117
30,8/19/21 2:17,48 48 48 49 51 48 51 55 50,117
14,8/19/21 2:16,48 48 48 49 51 48 51 51 57,292
14,8/19/21 2:15,48 48 48 49 51 48 51 51 57,292
70,8/19/21 2:15,48 48 48 49 51 48 51 49 57,282
30,8/19/21 2:15,48 48 48 49 51 48 51 55 50,117
14,8/19/21 2:15,48 48 48 49 51 48 51 51 57,292
30,8/19/21 2:15,48 48 48 49 51 48 51 55 50,117
14,8/19/21 2:15,48 48 48 49 51 48 51 51 57,292
30,8/19/21 2:13,48 48 48 49 51 48 51 55 50,117
30,8/19/21 2:12,48 48 48 49 51 48 51 55 50,117
70,8/19/21 2:12,48 48 48 49 51 48 50 54 49,297
30,8/19/21 2:10,48 48 48 49 51 48 51 55 50,117
70,8/19/21 2:09,48 48 48 49 51 48 50 53 54,277
70,8/19/21 2:07,48 48 48 49 51 48 50 57 50,291
70,8/19/21 2:05,48 48 48 49 51 48 50 53 51,284
30,8/19/21 2:03,48 48 48 49 51 48 51 55 50,117
12,8/19/21 2:02,48 48 48 49 51 48 50 53 54,277
30,8/19/21 2:01,48 48 48 49 51 48 51 55 50,117
70,8/19/21 1:58,48 48 48 49 51 48 51 57 50,298
30,8/19/21 1:57,48 48 48 48 55 50 56 57 55,103
14,8/19/21 1:56,48 48 48 49 51 48 50 51 55,287
14,8/19/21 1:55,48 48 48 49 51 48 50 53 54,277
14,8/19/21 1:54,48 48 48 49 51 48 50 53 54,277
14,8/19/21 1:52,48 48 48 49 51 48 51 49 57,282
3,8/19/21 1:51,48 48 48 48 55 50 56 56 48,311
70,8/19/21 1:50,48 48 48 49 51 48 51 57 50,298
14,8/19/21 1:49,48 48 48 49 51 48 50 51 55,287
6,8/19/21 1:47,48 48 48 48 55 50 56 56 48,311
70,8/19/21 1:46,48 48 48 49 51 48 50 57 48,274
14,8/19/21 1:45,48 48 48 49 51 48 51 49 57,282
10,8/19/21 1:37,48 48 48 49 51 48 51 49 57,282
